infohash,creation_date_conv,piece_length,number_pieces,number_files,torrent_size
4d9750a77ef4f59ab3ac8d9b7c572eaaed7e4179,2006-05-02 00:45:04,262144,2801,0,734109696
6c6fb887dd5634da61dd08994efd20cb2b65206c,2014-11-05 06:34:28,2097152,3619,12,7589394360
44a3757a6627c09bf04c97744936ab3cecd37af0,2005-07-27 13:37:01,262144,2801,0,734113792
036be352b6f1adb86fa1450156b055b7b34ff3a7,2005-09-09 09:45:53,262144,2797,0,732956672
c2d82748b28b31efa3c1283b27858ae2c815d013,2005-07-15 11:12:38,262144,2801,0,734099456
3a03dad89a00b2b42302d769e670144fcfc36a67,2006-12-25 02:47:57,262144,2799,0,733603840
1d379cf0278828f6788ffd6fa096b6ad2f373ef7,2008-05-12 13:07:07,262144,2782,2,729272702
1d379cf0278828f6788ffd6fa096b6ad2f373ef7,2008-05-12 13:07:07,262144,2782,2,729272702
58dfa32d9b747e6ae9e2b8e6717a528bd002be48,2014-01-26 13:28:58,16777216,3942,6695,66127730113
14f146cdfaef83951ca9d3ac647e18e1977d1367,2013-01-14 10:57:47,262144,3221,2,844104757
693f5ca19ec1f6114bc015ddc67415df7119c101,2011-04-28 23:22:01,524288,3212,0,1683866448
49db9372579ff484fcae99920c2c790303d5cb55,2008-10-11 06:29:12,262144,2804,2,735049104
1e4dae83371ba704d5d89e1828068ef0c4151e32,,262144,3839,0,1006147291
14f146cdfaef83951ca9d3ac647e18e1977d1367,2013-01-14 10:57:47,262144,3221,2,844104757
e0092f6ce9cadd28602d99ef0ae51e1e7e05d8e5,2012-03-07 20:54:09,2097152,1435,448,3009141398
e69f3c3f3b4990091ff319e66f47a3c29ead5bf9,2008-05-12 12:59:48,262144,13660,2,3580680964
7f17a20c92b5fd3a78787832f511e0e9deff3688,2013-04-16 09:34:27,4194304,2778,1042,11651734488
f46089bbde90ade2840e34585c425d8e646741f1,2006-03-19 20:45:36,262144,12412,2,3253670559
b744c148bbed688aa6e7492efd7b1471fc45570a,2005-08-08 11:48:09,262144,2800,0,733878272
797c6d6e478cae040e63dfa283fdc99ed6c608fb,2009-10-25 19:40:53,262144,2551,0,668698423
74ef40e74b939678b803f75d55a60f3cf62f3d19,2006-03-19 20:46:37,262144,13852,2,3631043224
f7cdabda307d8bec37e87488cb9b8e5bdd1b4bdc,2007-10-22 08:25:38,32768,14389,2,471484474
6d1523dce730ef5368f4bf5d28ddf99d5dc0e152,2012-03-08 08:47:09,524288,3173,4,1663189460
a3fbda1961fbc908026ec7cc4569d5fbef840c1e,2008-05-30 12:41:43,262144,3543,0,928670754
45f0b39320da2fbae8bfed90f70ec791cc5b3a30,2006-03-19 20:48:19,262144,9834,5,2577697256
713025becf9c414671a76dcc07efb6c3e3a2755b,2012-06-25 07:22:23,1048576,2555,17,2678194861
01625cc03ff92b39302ab63c97330b3cb1a12985,2007-02-21 11:48:27,524288,3278,0,1718566912
